;collaboration;stylometry;machine learning;sgml;tei;text encoding;computational literary studies;literature;nlp;annotation;topic modeling;language model;llms;edition;network;distant reading;bert;fine-tuning;language models;large language models;llm;visualization;year
0;0.0;0.004739336492890996;0.004739336492890996;0.0;0.023696682464454975;0.014218009478672985;0.0;0.009478672985781991;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.004739336492890996;2001
1;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;2004
2;0.0045045045045045045;0.0033783783783783786;0.0022522522522522522;0.0;0.012387387387387387;0.0022522522522522522;0.0;0.0011261261261261261;0.0011261261261261261;0.007882882882882882;0.0033783783783783786;0.0;0;0.0;0.0;0.0011261261261261261;0.0;0;0.0;0;0;0.02252252252252252;2013
3;0.01270053475935829;0.007352941176470588;0.00267379679144385;0.0;0.009358288770053475;0.001336898395721925;0.0;0.0033422459893048127;0.001336898395721925;0.006016042780748663;0.004679144385026738;0.0;0;0.0006684491978609625;0.001336898395721925;0.0033422459893048127;0.0;0;0.0;0;0;0.010026737967914439;2014
4;0.011403508771929825;0.0008771929824561404;0.0035087719298245615;0.0;0.011403508771929825;0.0008771929824561404;0.0;0.0017543859649122807;0.0017543859649122807;0.0035087719298245615;0.005263157894736842;0.0;0;0.0;0.0017543859649122807;0.005263157894736842;0.0;0;0.0;0;0;0.013157894736842105;2015
5;0.00673924313115604;0.00673924313115604;0.004665629860031105;0.0;0.005702436495593572;0.0;0.0;0.0010368066355624676;0.0015552099533437014;0.004665629860031105;0.002592016588906169;0.0;0;0.0;0.0015552099533437014;0.003110419906687403;0.0;0;0.0;0;0;0.005184033177812338;2016
6;0.010242587601078167;0.005390835579514825;0.0026954177897574125;0.0;0.003234501347708895;0.0;0.0;0.0026954177897574125;0.0;0.005929919137466307;0.004851752021563342;0.0;0;0.0005390835579514825;0.0016172506738544475;0.003234501347708895;0.0;0;0.0;0;0;0.011859838274932614;2017
7;0.007477906186267845;0.006798096532970768;0.006118286879673691;0.0;0.004078857919782461;0.0013596193065941536;0.0006798096532970768;0.0013596193065941536;0.0006798096532970768;0.004078857919782461;0.004758667573079538;0.0;0;0.0020394289598912306;0.0;0.004078857919782461;0.0;0;0.0;0;0;0.008837525492861998;2018
8;0.007616974972796518;0.002720348204570185;0.007072905331882481;0.0;0.008705114254624592;0.0;0.000544069640914037;0.003264417845484222;0.002176278563656148;0.006528835690968444;0.001632208922742111;0.0;0;0.0;0.000544069640914037;0.000544069640914037;0.0;0;0.0;0;0;0.008161044613710556;2019
9;0.0;0.013888888888888888;0.0;0.004629629629629629;0.004629629629629629;0.009259259259259259;0.0;0.027777777777777776;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;1998
10;0.0058823529411764705;0.01764705882352941;0.0;0.052941176470588235;0.0058823529411764705;0.011764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0058823529411764705;0.0;0.0;0.0;0;0.0;0;0;0.0;1997
11;0.012096774193548387;0.012096774193548387;0.0;0.04838709677419355;0.012096774193548387;0.03225806451612903;0.0;0.012096774193548387;0.0;0.004032258064516129;0.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0;0;0.0;1996
12;0.005192107995846314;0.0036344755970924196;0.011941848390446522;0.0;0.0005192107995846313;0.001557632398753894;0.001557632398753894;0.003115264797507788;0.0;0.0036344755970924196;0.0010384215991692627;0.0;0;0.0;0.001557632398753894;0.0036344755970924196;0.0;0;0.0;0;0;0.004672897196261682;2020
13;0.0033467202141900937;0.007362784471218206;0.008701472556894244;0.0;0.009370816599732263;0.0006693440428380187;0.009370816599732263;0.002008032128514056;0.004016064257028112;0.006024096385542169;0.0033467202141900937;0.0006693440428380187;0;0.0006693440428380187;0.0;0.004016064257028112;0.00535475234270415;0;0.0013386880856760374;0;0;0.002008032128514056;2022
14;0.015590200445434299;0.0077951002227171495;0.008908685968819599;0.0;0.0077951002227171495;0.0;0.0077951002227171495;0.0011135857461024498;0.005567928730512249;0.0066815144766146995;0.0033407572383073497;0.0022271714922048997;0;0.0;0.0;0.0011135857461024498;0.0;0;0.0;0;0;0.005567928730512249;2023
