;collaboration;stylometry;machine learning;sgml;tei;text encoding;computational literary studies;literature;nlp;annotation;topic modeling;language model;llms;edition;network;distant reading;bert;fine-tuning;language models;large language models;llm;visualization;id;year
0;0.0008340283569641367;0.0;0.0016680567139282735;0.0;0.0008340283569641367;0.0;0.0;0.0016680567139282735;0.0;0.0008340283569641367;0.0;0.0;0.0;0.004170141784820684;0.0;0.0;0.0008340283569641367;0.0;0.0;0.0;0.0;0.0;1;2000
1;0.0;0.0;0.0;0.0;0.00674373795761079;0.0009633911368015414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009633911368015414;0.0009633911368015414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;2001
2;0.0;0.0;0.0;0.0;0.0012706480304955528;0.0;0.0;0.0025412960609911056;0.0;0.0;0.0;0.0;0.0;0.005082592121982211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012706480304955528;3;2002
3;0.0022598870056497176;0.0;0.0;0.0;0.0022598870056497176;0.0011299435028248588;0.0;0.003389830508474576;0.0;0.0011299435028248588;0.0;0.0;0.0;0.006779661016949152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;2003
4;0.0017543859649122807;0.0008771929824561404;0.0;0.0008771929824561404;0.007017543859649123;0.0017543859649122807;0.0;0.0017543859649122807;0.0008771929824561404;0.0008771929824561404;0.0;0.0;0.0;0.0017543859649122807;0.0;0.0;0.0008771929824561404;0.0;0.0;0.0;0.0;0.0;5;2004
5;0.0019672131147540984;0.0;0.0;0.0;0.002622950819672131;0.0;0.0;0.0;0.0006557377049180328;0.0006557377049180328;0.0;0.0;0.0;0.007213114754098361;0.0013114754098360656;0.0;0.0013114754098360656;0.0;0.0;0.0;0.0;0.0019672131147540984;6;2005
6;0.0;0.0005991611743559018;0.0;0.0;0.0029958058717795086;0.0005991611743559018;0.0;0.0005991611743559018;0.0;0.0011983223487118035;0.0;0.0;0.0;0.004793289394847214;0.0017974835230677051;0.0;0.0005991611743559018;0.0;0.0;0.0;0.0;0.0;7;2006
7;0.0008403361344537816;0.0;0.0008403361344537816;0.0;0.0058823529411764705;0.0016806722689075631;0.0;0.0016806722689075631;0.0;0.0;0.0;0.0;0.0;0.0033613445378151263;0.004201680672268907;0.0;0.0;0.0;0.0;0.0;0.0;0.0016806722689075631;8;2007
8;0.001913265306122449;0.0;0.0006377551020408163;0.0;0.005739795918367347;0.0006377551020408163;0.0;0.0;0.0;0.0006377551020408163;0.0;0.0;0.0;0.006377551020408163;0.001913265306122449;0.0;0.0;0.0;0.0;0.0;0.0;0.0012755102040816326;9;2008
9;0.0020294266869609334;0.0;0.0;0.0;0.0025367833587011668;0.0;0.0;0.0010147133434804667;0.0;0.0010147133434804667;0.0;0.0;0.0;0.0035514967021816335;0.0025367833587011668;0.0;0.0;0.0;0.0;0.0;0.0;0.0025367833587011668;10;2009
10;0.002910360884749709;0.0;0.0;0.0;0.002910360884749709;0.0011641443538998836;0.0;0.0011641443538998836;0.0;0.0017462165308498253;0.0;0.0;0.0;0.002328288707799767;0.0034924330616996507;0.0005820721769499418;0.0;0.0;0.0;0.0;0.0;0.002328288707799767;11;2010
11;0.0005851375073142189;0.0005851375073142189;0.0;0.0;0.0011702750146284377;0.0;0.0;0.0011702750146284377;0.0;0.0005851375073142189;0.0005851375073142189;0.0;0.0;0.004681100058513751;0.004681100058513751;0.0;0.0;0.0;0.0;0.0;0.0;0.003510825043885313;12;2011
12;0.0013054830287206266;0.0004351610095735422;0.0004351610095735422;0.0;0.0026109660574412533;0.0004351610095735422;0.0;0.0026109660574412533;0.0;0.0039164490861618795;0.0;0.0;0.0;0.0030461270670147957;0.004786771105308964;0.0008703220191470844;0.0;0.0;0.0;0.0;0.0;0.0013054830287206266;13;2012
13;0.0007462686567164179;0.0007462686567164179;0.00037313432835820896;0.0;0.001119402985074627;0.0007462686567164179;0.0;0.0014925373134328358;0.0;0.0014925373134328358;0.00037313432835820896;0.0;0.0;0.004104477611940298;0.004477611940298508;0.0;0.0;0.0;0.0;0.0;0.0;0.0026119402985074628;14;2013
14;0.0010789814415192059;0.0006473888649115235;0.0;0.0;0.0010789814415192059;0.00021579628830384117;0.0;0.0015105740181268882;0.0;0.002589555459646094;0.00021579628830384117;0.0;0.0;0.0032369443245576176;0.002589555459646094;0.0006473888649115235;0.0;0.0;0.0;0.0;0.0;0.0017263703064307294;15;2014
15;0.00089632506722438;0.0005975500448162533;0.0;0.0;0.00179265013444876;0.0;0.0;0.0011951000896325067;0.0;0.0011951000896325067;0.00029877502240812666;0.0;0.0;0.0005975500448162533;0.005676725425754407;0.00029877502240812666;0.0005975500448162533;0.0;0.0;0.0;0.0;0.004182850313713774;16;2015
16;0.0003586800573888092;0.0005380200860832137;0.0001793400286944046;0.0;0.0005380200860832137;0.0001793400286944046;0.0;0.0019727403156384504;0.0003586800573888092;0.0016140602582496414;0.0001793400286944046;0.0;0.0;0.003586800573888092;0.0037661406025824963;0.000896700143472023;0.0003586800573888092;0.0;0.0;0.0;0.0;0.0014347202295552368;17;2016
17;0.0018231540565177757;0.00018231540565177758;0.0;0.0;0.0007292616226071103;0.0;0.0;0.0021877848678213308;0.00018231540565177758;0.0018231540565177757;0.00018231540565177758;0.0;0.0;0.0018231540565177757;0.0051048313582497725;0.0;0.00018231540565177758;0.0;0.0;0.0;0.0;0.0018231540565177757;18;2017
18;0.0015310586176727908;0.0004374453193350831;0.0;0.0;0.0006561679790026247;0.0;0.0;0.0004374453193350831;0.0;0.00021872265966754156;0.0006561679790026247;0.0;0.0;0.0015310586176727908;0.003937007874015748;0.0;0.0;0.0;0.0;0.0;0.0;0.0004374453193350831;20;2018
